Waktu Tarik,Sumber,Kategori,Judul,URL,Sentimen,Skor Sentimen
2026-09-26 10:37:58,Wolipop,Woli Best Buy,"Moonshot Jelly Moon Glow Tint, Lip Tint Dengan Hasil Glossy ala Eonnie Korea",https://wolipop.detik.com/best-buy/d-8670074/moonshot-jelly-moon-glow-tint-lip-tint-dengan-hasil-glossy-ala-eonnie-korea,Netral,0.0
2026-09-26 10:37:58,Wolipop,Woli Best Buy,Kanebo Generating Essentials Treatment Lotion untuk Hidrasi Maksimal Kulit,https://wolipop.detik.com/best-buy/d-8657085/kanebo-generating-essentials-treatment-lotion-untuk-hidrasi-maksimal-kulit,Netral,0.0
2026-09-26 10:37:58,Wolipop,Woli Best Buy,"Shiseido Urban Environment, Sunscreen Anti Polusi Dengan Efek Tone-Up",https://wolipop.detik.com/best-buy/d-8653709/shiseido-urban-environment-sunscreen-anti-polusi-dengan-efek-tone-up,Netral,0.0
2026-09-26 10:37:58,Wolipop,Woli Best Buy,"L'Occitane Immortelle Divine Targeted Wrinkle Care, Samarkan Kerutan Wajah",https://wolipop.detik.com/best-buy/d-8648756/loccitane-immortelle-divine-targeted-wrinkle-care-samarkan-kerutan-wajah,Netral,0.0
2026-09-26 10:37:58,Wolipop,Woli Best Buy,"Judydoll Dazzle Crush Lip Oil, Efek Plumping dan Tint hingga 8 Jam",https://wolipop.detik.com/best-buy/d-8638453/judydoll-dazzle-crush-lip-oil-efek-plumping-dan-tint-hingga-8-jam,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Gaya Ayu Ting Ting, Hesti & Kiky Saputri Jadi Bridesmaid Andre Taulany",https://wolipop.detik.com/celeb-style/d-8675577/gaya-ayu-ting-ting-hesti-kiky-saputri-jadi-bridesmaid-andre-taulany,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Viral Wanita Ditemukan usai 26 Tahun Hilang, Foto Dulu vs Sekarang Bikin Miris",https://wolipop.detik.com/entertainment-news/d-8675912/viral-wanita-ditemukan-usai-26-tahun-hilang-foto-dulu-vs-sekarang-bikin-miris,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Kate Middleton Hampir Terpeleset karena Gaunnya Terinjak, Reaksinya Jadi Sorotan",https://wolipop.detik.com/entertainment-news/d-8676680/kate-middleton-hampir-terpeleset-karena-gaunnya-terinjak-reaksinya-jadi-sorotan,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,Penampilan Sienna Miller dengan Putri Cantiknya yang Disebut Calon Fashionista,https://wolipop.detik.com/celeb-style/d-8669032/penampilan-sienna-miller-dengan-putri-cantiknya-yang-disebut-calon-fashionista,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,Potret Seksi Dua Lipa Berbalut Atasan Terbuat dari 740 Kancing Baju,https://wolipop.detik.com/celeb-style/d-8679142/potret-seksi-dua-lipa-berbalut-atasan-terbuat-dari-740-kancing-baju,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Aktor Korea Pensiun Mendadak Muncul Sebagai CEO, Ternyata dari Keluarga Kaya",https://wolipop.detik.com/entertainment-news/d-8679278/aktor-korea-pensiun-mendadak-muncul-sebagai-ceo-ternyata-dari-keluarga-kaya,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,Foto: Momen Langka Anggun C. Sasmi dan Putri Tampil Bersama di Catwalk,https://wolipop.detik.com/celeb-style/d-8670678/foto-momen-langka-anggun-c-sasmi-dan-putri-tampil-bersama-di-catwalk,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,Gaya Valerie Thomas Berkebaya Pink di Pernikahan Axel Matthew Kakaknya,https://wolipop.detik.com/celeb-style/d-8675129/gaya-valerie-thomas-berkebaya-pink-di-pernikahan-axel-matthew-kakaknya,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Drakor 18+ The Scandal Tayang, Fans Heboh Adegan Ranjang Ji Chang Wook-Nana",https://wolipop.detik.com/entertainment-news/d-8669656/drakor-18-the-scandal-tayang-fans-heboh-adegan-ranjang-ji-chang-wook-nana,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Angelina Jolie Sudah Jual Rumah di LA, Disebut Siap Pindah ke Kamboja",https://wolipop.detik.com/entertainment-news/d-8678278/angelina-jolie-sudah-jual-rumah-di-la-disebut-siap-pindah-ke-kamboja,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Intip Gaya Amanda Rigby, Calon Istri Andre Taulany dengan Barang Branded",https://wolipop.detik.com/fashion-news/d-8667841/intip-gaya-amanda-rigby-calon-istri-andre-taulany-dengan-barang-branded,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Gaya Yeji ITZY ke Indonesia, Bersanding dengan Luna Maya Hingga Chelsea Islan",https://wolipop.detik.com/celeb-style/d-8679360/gaya-yeji-itzy-ke-indonesia-bersanding-dengan-luna-maya-hingga-chelsea-islan,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,Momen Langka Kate Middleton Pakai Perhiasan Bersejarah di Premiere 'Digger',https://wolipop.detik.com/celeb-style/d-8676327/momen-langka-kate-middleton-pakai-perhiasan-bersejarah-di-premiere-digger,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Influencer Ditembak di Depan Ayah, Dibunuh Usai Keluar dari Penjara",https://wolipop.detik.com/entertainment-news/d-8674967/influencer-ditembak-di-depan-ayah-dibunuh-usai-keluar-dari-penjara,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Liburan ke Portugal, Gaya Stylish Erin Eks Istri Andre Taulany Curi Atensi",https://wolipop.detik.com/celeb-style/d-8668799/liburan-ke-portugal-gaya-stylish-erin-eks-istri-andre-taulany-curi-atensi,Positif,50.0
2026-09-26 10:37:58,Wolipop,Box Komentar Terbanyak,"Gaya Mewah Erin Eks Istri Andre Taulany, Jam Tangannya Rp 3,5 M",https://wolipop.detik.com/entertainment-news/d-8675254/gaya-mewah-erin-eks-istri-andre-taulany-jam-tangannya-rp-3-5-m,Netral,0.0
2026-09-26 10:37:58,Wolipop,Box Komentar Terbanyak,Foto Pernikahan Viral Legenda Sepakbola yang Nikahi Wanita 52 Tahun Lebih Muda,https://wolipop.detik.com/foto-wedding/d-8671413/foto-pernikahan-viral-legenda-sepakbola-yang-nikahi-wanita-52-tahun-lebih-muda,Netral,0.0
2026-09-26 10:37:58,Wolipop,Box Komentar Terbanyak,Amanda Rigby Tampil Pangling Pakai Kebaya Didiet Maulana Saat Menikah,https://wolipop.detik.com/foto-wedding/d-8672325/amanda-rigby-tampil-pangling-pakai-kebaya-didiet-maulana-saat-menikah,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,Detail Produk di Balik Riasan Timeless Beauty Amanda Rigby saat Menikah,https://wolipop.detik.com/makeup-and-skincare/d-8678940/detail-produk-di-balik-riasan-timeless-beauty-amanda-rigby-saat-menikah,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Most Pop: Sosok Amanda Rigby, Istri Baru Andre Taulany",https://wolipop.detik.com/entertainment-news/d-8671112/most-pop-sosok-amanda-rigby-istri-baru-andre-taulany,Positif,50.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,Niat Hidup Sehat Sering Gagal? Mungkin Kamu Butuh Cara yang Lebih Santai,https://wolipop.detik.com/health-and-diet/d-8679494/niat-hidup-sehat-sering-gagal-mungkin-kamu-butuh-cara-yang-lebih-santai,Negatif,-100.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Foto: Debut Aryna Sabalenka Jadi Model di Milan, Belajar Jalan dari Irina Shayk",https://wolipop.detik.com/celeb-style/d-8677562/foto-debut-aryna-sabalenka-jadi-model-di-milan-belajar-jalan-dari-irina-shayk,Netral,0.0
