Waktu Tarik,Wilayah,Sumber,Topik / Kata Kunci,Volume Pencarian,Judul Berita,URL,Sentimen,Skor Sentimen
2026-09-22 10:24:33,Indonesia,X (Twitter) Trending,#KonserBebasDrama,Trending di X,Trending Topic X Indonesia: #KonserBebasDrama,https://x.com/search?q=%23KonserBebasDrama&src=trend_click,Netral,0.0
2026-09-22 10:24:33,Indonesia,X (Twitter) Trending,Bareng Naavagreen,Trending di X,Trending Topic X Indonesia: Bareng Naavagreen,https://x.com/search?q=Bareng%20Naavagreen&src=trend_click,Netral,0.0
2026-09-22 10:24:33,Indonesia,X (Twitter) Trending,#KonserBebasKusam,Trending di X,Trending Topic X Indonesia: #KonserBebasKusam,https://x.com/search?q=%23KonserBebasKusam&src=trend_click,Netral,0.0
2026-09-22 10:24:33,Indonesia,X (Twitter) Trending,GoPay Later Lebih Murah,Trending di X,Trending Topic X Indonesia: GoPay Later Lebih Murah,https://x.com/search?q=GoPay%20Later%20Lebih%20Murah&src=trend_click,Netral,0.0
2026-09-22 10:24:33,Indonesia,X (Twitter) Trending,PPXPD WITH HENRY SF,Trending di X,Trending Topic X Indonesia: PPXPD WITH HENRY SF,https://x.com/search?q=PPXPD%20WITH%20HENRY%20SF&src=trend_click,Netral,0.0
2026-09-22 10:24:33,Indonesia,X (Twitter) Trending,#WilliamEstConcert,Trending di X,Trending Topic X Indonesia: #WilliamEstConcert,https://x.com/search?q=%23WilliamEstConcert&src=trend_click,Netral,0.0
2026-09-22 10:24:33,Indonesia,X (Twitter) Trending,#destinyclinicxJossGawin,Trending di X,Trending Topic X Indonesia: #destinyclinicxJossGawin,https://x.com/search?q=%23destinyclinicxJossGawin&src=trend_click,Netral,0.0
2026-09-22 10:24:33,Indonesia,X (Twitter) Trending,#SFxPerthDomiia,Trending di X,Trending Topic X Indonesia: #SFxPerthDomiia,https://x.com/search?q=%23SFxPerthDomiia&src=trend_click,Netral,0.0
2026-09-22 10:24:33,Indonesia,X (Twitter) Trending,JOSSGAWIN MY DESTINY,Trending di X,Trending Topic X Indonesia: JOSSGAWIN MY DESTINY,https://x.com/search?q=JOSSGAWIN%20MY%20DESTINY&src=trend_click,Netral,0.0
2026-09-22 10:24:33,Indonesia,X (Twitter) Trending,Water Bombing,Trending di X,Trending Topic X Indonesia: Water Bombing,https://x.com/search?q=Water%20Bombing&src=trend_click,Netral,0.0
2026-09-22 10:24:33,Indonesia,Google Trends ID,map,100+,Missouri's democracy got stress-tested,https://www.waynecojournalbanner.com/opinion/missouris-democracy-got-stress-tested-38816766,Netral,0.0
2026-09-22 10:24:33,Indonesia,Google Trends ID,chatgpt,10000+,Meta's Muse AI agent downloads are surging. Here's how it compares to ChatGPT - Grok and Claude,https://www.cnbc.com/2026/09/21/meta-muse-personal-ai-agent-downloads.html,Netral,0.0
2026-09-22 10:24:33,Indonesia,Google Trends ID,drive,1000+,Malik Nabers returns to Monday night game on next drive,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/malik-nabers-returns-to-monday-night-game-on-next-drive,Negatif,-20.0
2026-09-22 10:24:33,Indonesia,Google Trends ID,asn digital,1000+,Panduan Praktis Akses Portal ASN Digital BKN Secara Aman,https://www.topik.id/panduan-praktis-akses-portal-asn-digital-bkn-secara-aman,Positif,100.0
2026-09-22 10:24:33,Indonesia,Google Trends ID,simulasi tka,500+,Link Simulasi TKA Jenjang SMA Sederajat 2026 - Begini Cara Aksesnya,https://www.kompas.com/edu/read/2026/09/22/100440271/link-simulasi-tka-jenjang-sma-sederajat-2026-begini-cara-aksesnya,Netral,0.0
2026-09-22 10:24:33,Indonesia,Google Trends ID,babysitter,200+,Murdered baby was found hidden in couch with bruises and bite marks - citation shows,https://www.14news.com/2026/09/18/murdered-baby-was-found-hidden-couch-with-bruises-bite-marks-citation-shows/,Negatif,-16.67
2026-09-22 10:24:33,Indonesia,Google Trends ID,21 september,1000+,Harga Emas Antam Kepleset Lagi!,https://finance.detik.com/berita-ekonomi-bisnis/d-8673435/harga-emas-antam-kepleset-lagi,Netral,0.0
2026-09-22 10:24:33,Indonesia,Google Trends ID,claude ai,1000+,EXCLUSIVE: Anthropic quietly sets up biology lab as it ramps AI drug program,https://www.reuters.com/world/anthropic-quietly-sets-up-biology-lab-it-ramps-ai-drug-program-2026-09-18/,Netral,0.0
2026-09-22 10:24:33,Indonesia,Google Trends ID,nilai tukar,1000+,Rupiah Tergerus Sentimen Global dan Domestik,https://www.kompas.id/artikel/rupiah-tergerus-sentimen-global-dan-domestik?open_from=Section_Berita,Netral,0.0
2026-09-22 10:24:33,Indonesia,Google Trends ID,hk,1000+,‘Cantonese is strictly forbidden’: Hong Kong school principal apologises after unapproved language ban sparks outrage,https://hongkongfp.com/2026/09/21/cantonese-is-strictly-forbidden-hong-kong-school-principal-apologises-after-unapproved-language-ban-sparks-outrage/,Netral,0.0
