Waktu Tarik,Sumber,Kategori,Judul,URL
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,"Hadapi Abu Anak Krakatau, Kemenkes Aktifkan Pusat Darurat",https://www.liputan6.com/news/read/8285800/hadapi-abu-anak-krakatau-kemenkes-aktifkan-pusat-darurat
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,"Abu Vulkanik Menyebar, KAI Pantau Jalur dan Jarak Pandang Masinis",https://www.liputan6.com/news/read/8285787/abu-vulkanik-menyebar-kai-pantau-jalur-dan-jarak-pandang-masinis
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,Lima Bandara yang Ditutup Imbas Abu Vulkanik Anak Krakatau,https://www.liputan6.com/news/read/8285783/lima-bandara-yang-ditutup-imbas-abu-vulkanik-anak-krakatau
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,"Abu Anak Krakatau Sampai ke Jakarta, Pramono Imbau Warga Lakukan 5 M",https://www.liputan6.com/news/read/8285779/abu-anak-krakatau-sampai-ke-jakarta-pramono-imbau-warga-lakukan-5-m
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,BMKG: Belum Ada Anomali Air Laut Usai Anak Krakatau Erupsi,https://www.liputan6.com/news/read/8285762/bmkg-belum-ada-anomali-air-laut-usai-anak-krakatau-erupsi
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,Dua Strategi BNPB Kurangi Dampak Abu Anak Krakatau di Jakarta dan Banten,https://www.liputan6.com/news/read/8285764/dua-strategi-bnpb-kurangi-dampak-abu-anak-krakatau-di-jakarta-dan-banten
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,Transjakarta Matikan Lift dan Eskalator Imbas Abu Vulkanik Anak Krakatau,https://www.liputan6.com/news/read/8285760/transjakarta-matikan-lift-dan-eskalator-imbas-abu-vulkanik-anak-krakatau
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,"Universitas Terbuka Genap 42 Tahun, Dorong Inovasi Pendidikan Berdampak untuk Negeri",https://www.liputan6.com/news/read/8285739/universitas-terbuka-genap-42-tahun-dorong-inovasi-pendidikan-berdampak-untuk-negeri
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,"Cegah Abu Vulkanik, Mesin Pesawat di Bandara Soekarno-Hatta Dipasang Penutup",https://www.liputan6.com/news/read/8285749/cegah-abu-vulkanik-mesin-pesawat-di-bandara-soekarno-hatta-dipasang-penutup
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,"Langit Lampung Gelap Akibat Abu Anak Krakatau, Warga Mulai Sesak Napas",https://www.liputan6.com/news/read/8285722/langit-lampung-gelap-akibat-abu-anak-krakatau-warga-mulai-sesak-napas
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,"Depok Terdampak Abu Vulkanik Anak Krakatau, tapi CFD Tetap Ramai",https://www.liputan6.com/news/read/8285715/depok-terdampak-abu-vulkanik-anak-krakatau-tapi-cfd-tetap-ramai
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,"Erupsi Anak Krakatau, BMKG Sebut Peluang Muncul Tsunami di Bawah 40 Persen",https://www.liputan6.com/news/read/8285705/erupsi-anak-krakatau-bmkg-sebut-peluang-muncul-tsunami-di-bawah-40-persen
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,Ketika Krakatau Memicu Kiamat Kecil: Dentuman Dahsyat yang Bikin Bulan Jadi Biru,https://www.liputan6.com/news/read/8285702/ketika-krakatau-memicu-kiamat-kecil-dentuman-dahsyat-yang-bikin-bulan-jadi-biru
2026-09-06 15:25:29,Liputan6 News,Hukum & Politik,"Bukan Debu Biasa, Ini Alasan Bersihkan Abu Anak Krakatau Harus Disiram Dulu",https://www.liputan6.com/news/read/8285704/bukan-debu-biasa-ini-alasan-bersihkan-abu-anak-krakatau-harus-disiram-dulu
