Waktu Tarik,Kategori,Indikator / Judul Trek,Nilai / Artis,Satuan / Platform,Perubahan / Status Tren,Insight & Dampak,URL
2026-09-26 10:38:15,Streaming Musik Populer,Patient Zero,Taylor Swift,Apple Music ID,Peringkat #1,Lagu terpopuler hari ini di tangga lagu Indonesia.,https://music.apple.com/id/album/patient-zero/6814832200?i=6814832201&uo=2
2026-09-26 10:38:15,Streaming Musik Populer,"Aku Baik Saja (From ""Tak Ingin Usai Di Sini"")",Rossa,Apple Music ID,Peringkat #2,Lagu terpopuler hari ini di tangga lagu Indonesia.,https://music.apple.com/id/album/aku-baik-saja-from-tak-ingin-usai-di-sini/6770402314?i=6770402316&uo=2
2026-09-26 10:38:15,Streaming Musik Populer,Teh Hijau,Tulus,Apple Music ID,Peringkat #3,Lagu terpopuler hari ini di tangga lagu Indonesia.,https://music.apple.com/id/album/teh-hijau/6784585100?i=6784585105&uo=2
2026-09-26 10:38:15,Streaming Musik Populer,maha benar,Salma Salsabil,Apple Music ID,Peringkat #4,Lagu terpopuler hari ini di tangga lagu Indonesia.,https://music.apple.com/id/album/maha-benar/6808542295?i=6808542299&uo=2
2026-09-26 10:38:15,Streaming Musik Populer,2001x,Adrian Khalif,Apple Music ID,Peringkat #5,Lagu terpopuler hari ini di tangga lagu Indonesia.,https://music.apple.com/id/album/2001x/6766465450?i=6766465451&uo=2
